Language	Entropy	Count	Type	Model	LR
Catalan	3.22551222014	7	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Catalan	2.29301024123	20	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Catalan	3.2999405233	18	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Catalan	3.89654282323	11	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Catalan	4.86656433938	13	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Chinese	5.3019172128	20	MIWord5_Bugfix.py	REAL_REAL	0.001
Chinese	7.5186125225	20	MIWord5_Bugfix.py	REVERSE	0.001
Chinese	3.13223121626	25	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Chinese	4.42909397349	11	MIWord5_Content_Bugfix.py	REVERSE	0.001
Chinese	4.17212833831	24	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Chinese	4.81021207122	18	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Chinese	3.94849420778	24	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Chinese	5.64950313431	13	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Chinese	3.65854072921	22	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Chinese	5.4956684227	12	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Chinese	4.67615903359	23	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Chinese	7.19859298586	22	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Coptic	5.52318570168	20	MIWord5_Bugfix.py	REAL_REAL	0.001
Coptic	6.43026099781	19	MIWord5_Bugfix.py	REVERSE	0.001
Coptic	2.79294533363	9	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Coptic	2.78377207033	8	MIWord5_Content_Bugfix.py	REVERSE	0.001
Coptic	3.29184984794	49	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Coptic	3.31491975732	41	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Coptic	2.98269154108	25	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Coptic	4.39875146635	6	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Coptic	4.67396832875	8	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Coptic	5.11336329743	5	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Coptic	4.98656287665	27	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Coptic	8.88056014344	7	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Croatian	4.00717172942	14	MIWord5_Bugfix.py	REAL_REAL	0.001
Croatian	5.70227079451	8	MIWord5_Bugfix.py	REVERSE	0.001
Croatian	1.97499513239	13	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Croatian	2.90522947773	8	MIWord5_Content_Bugfix.py	REVERSE	0.001
Croatian	2.51250703706	35	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Croatian	3.27947635486	32	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Croatian	2.18020308712	18	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Croatian	3.32094749751	20	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Croatian	2.29481332947	14	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Croatian	3.66825525783	17	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Croatian	3.85219574208	17	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Croatian	5.731189128	14	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Czech	2.90419166777	9	MIWord5_Bugfix.py	REAL_REAL	0.001
Czech	3.81940188649	14	MIWord5_Bugfix.py	REVERSE	0.001
Czech	1.37983035149	17	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Czech	1.99887623086	10	MIWord5_Content_Bugfix.py	REVERSE	0.001
Czech	1.6903605255	24	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Czech	2.37152073562	28	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Czech	1.5430328849	13	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Czech	2.44607762217	12	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Czech	1.57797216412	11	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Czech	2.63216062202	17	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Czech	2.8577560021	12	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Czech	4.22649995363	14	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Danish	4.58026644007	11	MIWord5_Bugfix.py	REAL_REAL	0.001
Danish	4.94965902909	21	MIWord5_Bugfix.py	REVERSE	0.001
Danish	2.53508537849	11	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Danish	2.57318925414	25	MIWord5_Content_Bugfix.py	REVERSE	0.001
Danish	3.58061093583	36	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Danish	3.78937583375	17	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Danish	2.63619801138	25	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Danish	3.39610494328	23	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Danish	2.74184038853	22	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Danish	4.04049809285	16	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Danish	4.26978620122	16	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Danish	5.80622443433	15	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Dutch	3.15919382496	14	MIWord5_Bugfix.py	REAL_REAL	0.001
Dutch	4.27957032076	16	MIWord5_Bugfix.py	REVERSE	0.001
Dutch	1.59394076679	12	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Dutch	2.2061822092	10	MIWord5_Content_Bugfix.py	REVERSE	0.001
Dutch	1.8645239681	42	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
Dutch	3.16955530566	17	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
Dutch	1.7480710424	19	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
Dutch	2.85773360308	10	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
Dutch	1.80391920558	15	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
Dutch	3.00584754766	16	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
Dutch	3.08243474509	18	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
Dutch	4.63443829143	16	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
English	3.07406580745	21	MIWord5_Bugfix.py	REAL_REAL	0.001
English	4.33043557859	11	MIWord5_Bugfix.py	REVERSE	0.001
English	1.55125729691	12	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
English	2.00512810079	22	MIWord5_Content_Bugfix.py	REVERSE	0.001
English	2.14725915622	24	MIWord5_Content_PlainUD_Bugfix.py	REAL_REAL	0.0001
English	2.64296229936	29	MIWord5_Content_PlainUD_Bugfix.py	REVERSE	0.0001
English	1.76488038343	14	MIWord5_NoUDArtifacts_Bugfix.py	REAL_REAL	0.001
English	2.74577358832	10	MIWord5_NoUDArtifacts_Bugfix.py	REVERSE	0.001
English	1.81403872817	14	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REAL_REAL	0.001
English	2.96588042284	12	MIWord5_NoUDArtifacts_PlainUD_Bugfix.py	REVERSE	0.001
English	3.17509186673	15	MIWord5_PlainUD_Bugfix.py	REAL_REAL	0.001
English	4.73881315022	12	MIWord5_PlainUD_Bugfix.py	REVERSE	0.001
Erzya-Adap	5.33125863615	4	MIWord5_Bugfix.py	REAL_REAL	0.001
Erzya-Adap	5.43269772998	3	MIWord5_Bugfix.py	REVERSE	0.001
Erzya-Adap	2.4636820439	10	MIWord5_Content_Bugfix.py	REAL_REAL	0.001
Erzya-Adap	2.47550374645	7	MIWord5_Content_Bugfix.py	REVERSE	0.001
